is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	stopwords_removed_retweet_text
1	gm_stone	RT @gm_stone: Only two possible explanations for Trump Taiwan call. 1) accidental: he was too dumb to know what he was doing 2) deliberate.??e		 Only two possible explanations for Trump Taiwan call. 1) accidental: he was too dumb to know what he was doing 2) deliberate.??e	two possible Taiwan 1 accidental know 2 deliberatee
1	ObsoleteDogma	RT @ObsoleteDogma: Biggest risk of Trump's Taiwan call isn't pissing off China. It's giving Taiwan the idea that we'll support them more th??e		 Biggest risk of Trump's Taiwan call isn't pissing off China. It's giving Taiwan the idea that we'll support them more th??e	Biggest Trumps Taiwan pissing giving Taiwan idea well support the
1	JohnJHarwood	"RT @JohnJHarwood: Dem foreign policy adv Jentleson, predicting ""real consequences"" re: Trump/Taiwan: ""two can play - Trump impulsively, Chi??n"		" Dem foreign policy adv Jentleson, predicting ""real consequences"" re: Trump/Taiwan: ""two can play - Trump impulsively, Chi??n"	Dem foreign adv Jentleson real consequences TrumpTaiwan two play Trump Chin
1	comradewong	"RT @comradewong: Taipei Times reported that ""Taiwan-friendly campaign staff"" for Trump arranged the call. https://t.co/0GoKcstS5I https://t??n"		" Taipei Times reported that ""Taiwan-friendly campaign staff"" for Trump arranged the call. https://t.co/0GoKcstS5I https://t??n"	Taipei Taiwanfriendly staff
1	Minimadden	RT @Minimadden: @EricLiptonNYT @onlxn @mega2e Taiwan News is reporting Eric Trump is scheduled to visit to explore business opportunities t??n		 @EricLiptonNYT @onlxn @mega2e Taiwan News is reporting Eric Trump is scheduled to visit to explore business opportunities t??n	onlxn mega2e News Eric scheduled visit explore business tn
1	MalakimPro	RT @MalakimPro: Donald Trump has spoken with the president of #Taiwan - a move that is likely to provoke a rift with #China https://t.co/PT??n		 Donald Trump has spoken with the president of #Taiwan - a move that is likely to provoke a rift with #China https://t.co/PT??n	Donald president Taiwan move provoke rift China
1	adamsamson	RT @adamsamson: FT EXCLUSIVE: Donald Trump risks major diplomatic dispute with China after speaking on phone with Taiwan's president https:??n		 FT EXCLUSIVE: Donald Trump risks major diplomatic dispute with China after speaking on phone with Taiwan's president https:??n	FT EXCLUSIVE Donald Trump risks major diplomatic dispute China speaking phone president
1	MSignorile	"RT @MSignorile: Though it could ""draw the U.S. and China into war??Trump advisors want U.S. to stop ?andering to Beijing.??o/je0"		" Though it could ""draw the U.S. and China into war??Trump advisors want U.S. to stop ?andering to Beijing.??o/je0"	Though draw US warTrump advisors US andering
1	Lawsonbulk	RT @Lawsonbulk: Taiwan has me wondering if Trump could be the first president elect every to start a war before taking office		 Taiwan has me wondering if Trump could be the first president elect every to start a war before taking office	Taiwan wondering Trump could president every start war taking office
1	MichaelSkolnik	RT @MichaelSkolnik: Obama? been so dignified about a peaceful transition of power?地nd Trump just stabbed him in the back by calling Taiwan??n??ti		 Obama? been so dignified about a peaceful transition of power?地nd Trump just stabbed him in the back by calling Taiwan??n??ti	Obama peaceful transition powernd Trump stabbed calling Taiwannti
1	thehill	"RT @thehill: Former Bush spokesman on Trump's Taiwan call: ""China will go nuts"" https://t.co/kFxlxnzA63 https://t.co/gW6Fdi1C8l"		" Former Bush spokesman on Trump's Taiwan call: ""China will go nuts"" https://t.co/kFxlxnzA63 https://t.co/gW6Fdi1C8l"	Former spokesman Trumps Taiwan call China nuts
1	nytpolitics	RT @nytpolitics: Trump speaks with Taiwan? leader, seen as an affront to China https://t.co/poLoHnqmwK https://t.co/r6b7rvW1N3:/		 Trump speaks with Taiwan? leader, seen as an affront to China https://t.co/poLoHnqmwK https://t.co/r6b7rvW1N3:/	Trump speaks leader seen affront China
1	MaddowBlog	RT @MaddowBlog: If Trump thinks US diplomatic relations with Taiwan are interesting, there are people who can explain them to him. https://??n		 If Trump thinks US diplomatic relations with Taiwan are interesting, there are people who can explain them to him. https://??n	Trump thinks US diplomatic relations Taiwan people explain him
1	bocavista2016	RT @bocavista2016: Obama selling Taiwan WARSHIPS means nothing to China		 Obama selling Taiwan WARSHIPS means nothing to China	Obama selling nothing China
1	PamelaGeller	RT @PamelaGeller: Trump makes history with phone call to long time ally, Taiwan https://t.co/0TZvN67GrT https://t.co/SMWZraEIoD		 Trump makes history with phone call to long time ally, Taiwan https://t.co/0TZvN67GrT https://t.co/SMWZraEIoD	Trump makes history phone call time ally
1	orlandosentinel	RT @orlandosentinel: China hopes Trump call with Taiwan's president won't lead to 'damaged' ties https://t.co/76X1rhYx7g https://t.co/kR6V7??e		 China hopes Trump call with Taiwan's president won't lead to 'damaged' ties https://t.co/76X1rhYx7g https://t.co/kR6V7??e	China hopes call Taiwans president lead ties
1	TeaPartyCat	"RT @TeaPartyCat: Trump: ""I would never risk nuclear war with China unless I had a REALLY, REALLY GOOD REASON, like building some Trump Hote??e"		" Trump: ""I would never risk nuclear war with China unless I had a REALLY, REALLY GOOD REASON, like building some Trump Hote??e"	Trump I would risk nuclear war China unless REALLY GOOD REASON like building Trump Hotee
1	TheRickyDavila	RT @TheRickyDavila: A nearly 4 decade policy against conducting relations with Taiwan and Buffoon Elect #Trump manages to mess it up in 1 p??n		 A nearly 4 decade policy against conducting relations with Taiwan and Buffoon Elect #Trump manages to mess it up in 1 p??n	nearly 4 decade conducting Taiwan Elect Trump mess 1
1	otepofficial	RT @otepofficial: TRUMP: I just got off a call with Taiwan. Very nice ppl. 		 TRUMP: I just got off a call with Taiwan. Very nice ppl.	TRUMP got call Taiwan nice
1	thehill	RT @thehill: GOP lawmakers praise Trump for Taiwan call https://t.co/Jsf0f8bgEJ https://t.co/8iCt1vbtOr		 GOP lawmakers praise Trump for Taiwan call https://t.co/Jsf0f8bgEJ https://t.co/8iCt1vbtOr	GOP lawmakers praise Trump call
1	HHooversGhost	RT @HHooversGhost: Only the Electoral College stands between us &amp; disaster: incompetent Trump likely infuriated China with Taiwan call http??i		 Only the Electoral College stands between us &amp; disaster: incompetent Trump likely infuriated China with Taiwan call http??i	Electoral stands us amp disaster incompetent Trump likely infuriated Taiwan
1	FareedZakaria	RT @FareedZakaria: I talked more about Donald Trump's call with Taiwan's president, on @CNNTonight: https://t.co/DAZSBxBYUc		 I talked more about Donald Trump's call with Taiwan's president, on @CNNTonight: https://t.co/DAZSBxBYUc	talked Donald Trumps call Taiwans CNNTonight
1	errolbarnett	RT @errolbarnett: An official complaint from China and more fallout after President-elect Trump speaks with Taiwan's President. My @CBSThis??n		 An official complaint from China and more fallout after President-elect Trump speaks with Taiwan's President. My @CBSThis??n	official complaint China fallout Trump speaks CBSThisn
1	SconsetCapital	RT @SconsetCapital: So it's okay for Obama to reach out to Cuba and Iran but if Trump takes a call from Taiwan it's World War 3???		 So it's okay for Obama to reach out to Cuba and Iran but if Trump takes a call from Taiwan it's World War 3???	okay Cuba takes call War
1	kylegriffin1	RT @kylegriffin1: Taiwanese media is reporting that the Trump Organization's looking to do business in Taiwan building luxury hotels: https??n		 Taiwanese media is reporting that the Trump Organization's looking to do business in Taiwan building luxury hotels: https??n	Taiwanese reporting Trump looking business luxury
1	MoodyBlx	RT @MoodyBlx: Who's surprised it would be this PEOTUS who'd break diplomacy, or do it so early on? https://t.co/mn2zgNliTl		 Who's surprised it would be this PEOTUS who'd break diplomacy, or do it so early on? https://t.co/mn2zgNliTl	Whos surprised would whod break diplomacy on
1	Khanoisseur	RT @Khanoisseur: As for Trump's call to Taiwan?尖ou guessed it @johnrevtv @anneapplebaum https://t.co/t9AtvlgEI7h 		 As for Trump's call to Taiwan?尖ou guessed it @johnrevtv @anneapplebaum https://t.co/t9AtvlgEI7h	Trumps call Taiwanou guessed johnrevtv anneapplebaum
1	dabeard	RT @dabeard: Yikes, from @nytimes Beijing bureau chief ... #Trump #Taiwan https://t.co/UQNNfKMd6k		 Yikes, from @nytimes Beijing bureau chief ... #Trump #Taiwan https://t.co/UQNNfKMd6k	Yikes nytimes Beijing chief Trump Taiwan
1	irish_news	RT @irish_news: #Trump : President elect breaks 37 year diplomatic protocol by speaking with #Taiwanese leader https://t.co/YWlwsTuKHf http??n		 #Trump : President elect breaks 37 year diplomatic protocol by speaking with #Taiwanese leader https://t.co/YWlwsTuKHf http??n	Trump President elect 37 year diplomatic protocol speaking
1	jonswaine	RT @jonswaine: Donald Trump risks China rift with Taiwan call https://t.co/ZR3RoHV0jf via @FT		 Donald Trump risks China rift with Taiwan call https://t.co/ZR3RoHV0jf via @FT	Donald risks rift Taiwan call via
1	DefendingtheUSA	"RT @DefendingtheUSA: ONLY REASON it was ""protocol"" to not talk to Taiwan publicly is Obama is too cowardly &amp; TERRIFIED of offending China.???"		" ONLY REASON it was ""protocol"" to not talk to Taiwan publicly is Obama is too cowardly &amp; TERRIFIED of offending China.???"	REASON protocol talk Taiwan publicly cowardly offending China
1	Adampasick	RT @Adampasick: Prescient, from @mhayoun, on Trump, Taiwan, and Reince Preibus: https://t.co/pJ9OoEVLzd		 Prescient, from @mhayoun, on Trump, Taiwan, and Reince Preibus: https://t.co/pJ9OoEVLzd	Prescient mhayoun Trump Reince
1	PhillyTalk	RT @PhillyTalk: Liberals that want to secede because #NotMyPresident are upset Taiwan calls Trump on flip phone &amp; is independent from Chins.		 Liberals that want to secede because #NotMyPresident are upset Taiwan calls Trump on flip phone &amp; is independent from Chins.	Liberals want secede NotMyPresident upset calls flip phone
1	WalshFreedom	RT @WalshFreedom: Good. New Sheriff in town. 		 Good. New Sheriff in town.	Good town
1	ASimendinger	RT @ASimendinger: Trump-Taiwan call 1st betw US president or president-elect &amp; Taiwan ldr since diplo relations cut in 1979  https://t.co/Y??o		 Trump-Taiwan call 1st betw US president or president-elect &amp; Taiwan ldr since diplo relations cut in 1979 https://t.co/Y??o	TrumpTaiwan call 1st US president Taiwan since diplo relations 1979
1	ArthurA_P	RT @ArthurA_P: Trump wants to expand business empire to Taiwan, creating another potential conflict of interest https://t.co/zRDIrUr2VU		 Trump wants to expand business empire to Taiwan, creating another potential conflict of interest https://t.co/zRDIrUr2VU	Trump wants business empire creating conflict
1	Koxinga8	RT @Koxinga8: Why is everyone freaking out about Trump? call to Taiwan? | BizPac Review https://t.co/wpVzd9urOght		 Why is everyone freaking out about Trump? call to Taiwan? | BizPac Review https://t.co/wpVzd9urOght	freaking Trump call Taiwan
1	washingtonpost	RT @washingtonpost: China blasts ?etty??call between Taiwan? president and Trump https://t.co/gDe6KKhhXN//t.co		 China blasts ?etty??call between Taiwan? president and Trump https://t.co/gDe6KKhhXN//t.co	China blasts president Trump
1	secupp	"RT @secupp: Here's what I imagine: ""But Sir, no president has talked to the Taiwan president since 1979."" Trump: ""Then definitely get him o??/"		" Here's what I imagine: ""But Sir, no president has talked to the Taiwan president since 1979."" Trump: ""Then definitely get him o??/"	Heres imagine But president Taiwan president Then get o
1	AFP	RT @AFP: #BREAKING Beijing has contacted US over Trump Taiwan call: foreign ministry		 #BREAKING Beijing has contacted US over Trump Taiwan call: foreign ministry	BREAKING Beijing contacted US Trump Taiwan call foreign ministry
1	cctvnews	RT @cctvnews: MOFA: China lodges solemn representations with the US over Trump's call with Taiwan leader, urges Washington to stick to one???		 MOFA: China lodges solemn representations with the US over Trump's call with Taiwan leader, urges Washington to stick to one???	MOFA China lodges solemn representations US Trumps Taiwan Washington
1	benshapiro	RT @benshapiro: If you expect me to be upset that Trump is treating Taiwan as a free state while angering an enormous communist tyranny, um??/		 If you expect me to be upset that Trump is treating Taiwan as a free state while angering an enormous communist tyranny, um??/	expect upset Trump treating Taiwan state enormous communist tyranny um
1	Metalbones59	RT @Metalbones59: Trump-Taiwan.    This Hysteria is comical !		 Trump-Taiwan. This Hysteria is comical !	TrumpTaiwan Hysteria comical
1	jenkspl64	RT @jenkspl64: The foreign policy intelligentsia are tweeting full bore over Trump &amp; Taiwan knowing the implications but the media focuses???		 The foreign policy intelligentsia are tweeting full bore over Trump &amp; Taiwan knowing the implications but the media focuses???	foreign policy intelligentsia full bore Trump amp Taiwan knowing implications focuses
1	JaimeTennille	RT @JaimeTennille: Lying hoaxing media says it's a problem that Trump took a call from Taiwan. ?橙?ppe		 Lying hoaxing media says it's a problem that Trump took a call from Taiwan. ?橙?ppe	Lying says problem took call Taiwan
1	JeanRalphiooo	"""@SeanlaiC: RT @JeanRalphiooo I would endorse @realDonaldTrump in a presidential run!"""	" ""@SeanlaiC:"	" I would endorse @realDonaldTrump in a presidential run!"""	would endorse run
1	Pursuitist	"""@ribkamaria1: RT @Pursuitist: Stunning hotel! Trump International Hotel & Tower Chicago. @realDonaldTrump @TrumpChicago"	" ""@ribkamaria1:"	 Stunning hotel! Trump International Hotel & Tower Chicago. @realDonaldTrump @TrumpChicago	Stunning Trump International Hotel Tower Chicago realDonaldTrump TrumpChicago
1	randyprine	RT @randyprine: Why did he take call? Trump is considering building luxury resorts in Taiwan. A Trump representative visited Taoyuan in Sep??n		 Why did he take call? Trump is considering building luxury resorts in Taiwan. A Trump representative visited Taoyuan in Sep??n	take considering building luxury resorts Trump representative visited Sepn
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: An Honor to be in #Indiana w @realDonaldTrump @greta & the legend, Bobby Knight! I like our secret weapon better!!! htt…		 An Honor to be in #Indiana w @realDonaldTrump @greta & the legend, Bobby Knight! I like our secret weapon better!!! htt…	Honor Indiana realDonaldTrump greta legend Bobby Knight secret weapon better htt
1	EricTrump	RT @EricTrump: I look forward to being on @CNN with @ErinBurnett at 7:40pmET. @realDonaldTrump		 I look forward to being on @CNN with @ErinBurnett at 7:40pmET. @realDonaldTrump	look forward CNN 740pmET
1	Bamagirl_4_ever	"""@NoWindAlabama: Beautiful! Let's keep it that way. #turbinefree RT @Bamagirl_4_ever: Sunset on Sand Mountain. @aberdeenshire @AlexSalmond"	" ""@NoWindAlabama: Beautiful! Let's keep it that way. #turbinefree"	 Sunset on Sand Mountain. @aberdeenshire @AlexSalmond	Sunset Sand aberdeenshire
1	SarahPalinUSA	RT @SarahPalinUSA: Trading in the beautiful snow of Iowa for the red dirt of Oklahoma as planned, despite what the media is try's no... htt…		 Trading in the beautiful snow of Iowa for the red dirt of Oklahoma as planned, despite what the media is try's no... htt…	Trading Iowa red dirt Oklahoma planned despite media no htt
1	williebosshog	RT @williebosshog: Make America Great Again! #Trump2016 https://t.co/1h5j4DZDgy		 Make America Great Again! #Trump2016 https://t.co/1h5j4DZDgy	Make Great Again Trump2016
1	JedediahBila	"""@BretBaier: Thx RT @JedediahBila Well done, @BretBaier ""Thurs Cable News Ratings: Fox's Bret Baier Beats CNN, MSNBC, HLN Combined."	" ""@BretBaier: Thx"	" Well done, @BretBaier ""Thurs Cable News Ratings: Fox's Bret Baier Beats CNN, MSNBC, HLN Combined."	Well done BretBaier Thurs Cable Foxs Bret Baier Beats CNN MSNBC HLN Combined
1	EricTrump	RT @EricTrump: Wow! I am speechless! Thank you to my sidekick @LynnePatton who keeps me & the @EricTrumpFdn in line! https://t.co/L7Y2pjIl6…		 Wow! I am speechless! Thank you to my sidekick @LynnePatton who keeps me & the @EricTrumpFdn in line! https://t.co/L7Y2pjIl6…	Wow speechless Thank LynnePatton keeps EricTrumpFdn line
1	realDonaldTrump	"""@wussydemon: Can I get a RT from @realDonaldTrump for getting three of the best looking shirts @Macys #bigfan http://t.co/fDAYfpkkMe""Great!"	" ""@wussydemon: Can I get a"	" from for getting three of the best looking shirts @Macys #bigfan http://t.co/fDAYfpkkMe""Great!"	looking shirts Macys bigfan
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: Donald Trump Jr. On The Record: Why Trump International Hotels And Residences Are Still Winning via @forbes https://t.c…		 Donald Trump Jr. On The Record: Why Trump International Hotels And Residences Are Still Winning via @forbes https://t.c…	Donald Jr Trump International Hotels Residences Still Winning via forbes
1	realDonaldTrump	"""@vnessa09: Do you wear your brand from @Macy's? RT @realDonaldTrump: YES!"	" ""@vnessa09: Do you wear your brand from @Macy's?"	 YES!	YES
1	newtgingrich	RT @newtgingrich: Seems out of touch w/ reality to announce a VP nominee before securing 1237 delegates. https://t.co/Hqx8MRyAjR https://t.…		 Seems out of touch w/ reality to announce a VP nominee before securing 1237 delegates. https://t.co/Hqx8MRyAjR https://t.…	Seems reality announce VP securing
1	AdrianaCohen16	RT @AdrianaCohen16: Carly Fiorina no lifeboat for a fast-sinking @tedcruz campaign https://t.co/nHhENzFBck via @bostonherald @realdonaldtru…		 Carly Fiorina no lifeboat for a fast-sinking @tedcruz campaign https://t.co/nHhENzFBck via @bostonherald @realdonaldtru…	Carly lifeboat fastsinking bostonherald
1	JoeNBC	RT @JoeNBC: Trump +15 on Cruz in 2 weeks. Cruz may look back and ask why he ever attacked Trump. DT has killed him ever since. https://t.c…		 Trump +15 on Cruz in 2 weeks. Cruz may look back and ask why he ever attacked Trump. DT has killed him ever since. https://t.c…	Trump 15 2 weeks Cruz may look ask ever attacked Trump killed ever since
1	GeraldoRivera	RT @GeraldoRivera: #NewYork tromps #Jonas. Day after storm of the century the big city is up and running unlike others in the northeast. Mu…		 #NewYork tromps #Jonas. Day after storm of the century the big city is up and running unlike others in the northeast. Mu…	NewYork tromps Jonas Day century big running unlike others
1	greta	RT @greta: interesting poll results so far (and go vote on https://t.co/0Zv2YvEdRX) https://t.co/BnsRf9GSxC		 interesting poll results so far (and go vote on https://t.co/0Zv2YvEdRX) https://t.co/BnsRf9GSxC	interesting poll far and
1	AnnCoulter	"RT @AnnCoulter: RUMSFELD: Trump ""has a touched a nerve in our country...in a way that most politicians have not been able to do."" - https:/…"		" RUMSFELD: Trump ""has a touched a nerve in our country...in a way that most politicians have not been able to do."" - https:/…"	RUMSFELD Trump has touched nerve countryin way politicians do
1	AnnCoulter	RT @AnnCoulter: GREATEST FOREIGN POLICY SPEECH SINCE WASHINGTON'S FAREWELL ADDRESS.		 GREATEST FOREIGN POLICY SPEECH SINCE WASHINGTON'S FAREWELL ADDRESS.	GREATEST FOREIGN POLICY SPEECH SINCE WASHINGTONS FAREWELL ADDRESS
1	Morning_Joe	RT @Morning_Joe: VIDEO: @realDonaldTrump announces 'a very powerful endorsement' will be coming today. https://t.co/cJsMBcVcdY		 VIDEO: @realDonaldTrump announces 'a very powerful endorsement' will be coming today. https://t.co/cJsMBcVcdY	VIDEO realDonaldTrump announces a powerful endorsement coming
1	DRUDGE_REPORT	RT @DRUDGE_REPORT: DEAD HEAT: CLINTON VS TRUMP https://t.co/wqfQMEMQOj		 DEAD HEAT: CLINTON VS TRUMP https://t.co/wqfQMEMQOj	DEAD HEAT CLINTON VS TRUMP
1	DRUDGE_REPORT	RT @DRUDGE_REPORT: LIMBAUGH: By not showing, he's owning entire event... https://t.co/fdizXOkBFc		 LIMBAUGH: By not showing, he's owning entire event... https://t.co/fdizXOkBFc	LIMBAUGH showing hes owning entire event
1	millman85	"""@psu_rebot: RT @millman85: @realDonaldTrump you could put #PennState in this same category! #Settlers #SoftTarget @psu_rebot"" TRUE-WEAK!"	" ""@psu_rebot:"	" @realDonaldTrump you could put #PennState in this same category! #Settlers #SoftTarget @psu_rebot"" TRUE-WEAK!"	could PennState Settlers psurebot TRUEWEAK
1		"""@ISaidKnow: AWESOME! RT Again, more dead people voted in the last election than enrolled in ObamaCare. Congratulations America!” Thanks!"	" ""@ISaidKnow: AWESOME!"	 Again, more dead people voted in the last election than enrolled in ObamaCare. Congratulations America!” Thanks!	Again voted enrolled Congratulations
1		"""@MindOfMcN: @Chrisgraham101 RT TTonight the 2nd and 3rd eps of The Apprentice are on at 8 & 9. Great ratings last night 18 - 49. FUN!"""	" ""@MindOfMcN: @Chrisgraham101"	" TTonight the 2nd and 3rd eps of The Apprentice are on at 8 & 9. Great ratings last night 18 - 49. FUN!"""	TTonight eps Apprentice 8 9 ratings night 49 FUN
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: A message from Donald J. Trump to NEW YORK! https://t.co/FMosFLn8yq		 A message from Donald J. Trump to NEW YORK! https://t.co/FMosFLn8yq	message Donald NEW YORK
1	realDonaldTrump	"""@LoriMoreno: RT @realDonaldTrump Congratulations @TrumpNewYork @TrumpChicago @TrumpWaikiki @TrumpToronto @Forbes Five-Star ratings"	" ""@LoriMoreno:"	 Congratulations @TrumpNewYork @TrumpChicago @TrumpWaikiki @TrumpToronto @Forbes Five-Star ratings	Congratulations TrumpChicago TrumpWaikiki TrumpToronto ratings
1		"""@dany8ro: Aha RT ""@realDonaldTrump: You have good taste! ""@JayRobby: I love Bill Gates and Warren Buffet and Donald Trump. I so love them."""	" ""@dany8ro: Aha"	" ""@realDonaldTrump: You have good taste! ""@JayRobby: I love Bill Gates and Warren Buffet and Donald Trump. I so love them."""	good JayRobby Bill Buffet Donald love them
1	CLewandowski_	RT @CLewandowski_: Trump winning over Latino Republicans, poll says | New York Post https://t.co/yiC3zavrmi		 Trump winning over Latino Republicans, poll says | New York Post https://t.co/yiC3zavrmi	Trump winning Republicans poll says New York
1	Macys”	"""@Rodzillatron1: Definitely added to my collection. great product RT “@realDonaldTrump: I hope you buy my shirts and ties at @Macys” Great!"	" ""@Rodzillatron1: Definitely added to my collection. great product"	 “@realDonaldTrump: I hope you buy my shirts and ties at Great!	hope shirts ties Great
1	DanScavino	RT @DanScavino: OHIO GENERAL ELECTION Donald Trump vs. Hillary Clinton #MakeAmericaGreatAgain #Trump2016 https://t.co/0yXQ4SFSLO		 OHIO GENERAL ELECTION Donald Trump vs. Hillary Clinton #MakeAmericaGreatAgain #Trump2016 https://t.co/0yXQ4SFSLO	OHIO GENERAL ELECTION Donald Trump vs Hillary Clinton MakeAmericaGreatAgain Trump2016
1	realDonaldTrump	"""@HereisDami: RT @realDonaldTrump: ""The price of greatness is responsibility."" -- Winston Churchill"""	" ""@HereisDami:"	" ""The price of greatness is responsibility."" -- Winston Churchill"""	The price greatness responsibility Churchill
1	MittRomney	RT @MittRomney: For nearly 4 years, Barack Obama has refused to crack down on China's cheating & American workers have paid the price.		 For nearly 4 years, Barack Obama has refused to crack down on China's cheating & American workers have paid the price.	4 years Barack Obama refused Chinas workers paid price
1	DRUDGE_REPORT	RT @DRUDGE_REPORT: 43-39 https://t.co/TkQYb6V2do		 43-39 https://t.co/TkQYb6V2do	4339
1	realDonaldTrump	"""@Youxia88: Good idea. RT @realDonaldTrump: ""@harpers1niter: @realDonaldTrump Let's just put you in the white House now."""""	" ""@Youxia88: Good idea."	" ""@harpers1niter: @realDonaldTrump Let's just put you in the white House now."""""	realDonaldTrump Lets put House now
1		"""@nicla_b: @realDonaldTrump Pls help highlight and RT Protect Blackdog: Welcome to the Protect Blackdog Blog!"	" ""@nicla_b: @realDonaldTrump Pls help highlight and"	 Protect Blackdog: Welcome to the Protect Blackdog Blog!	Protect Blackdog Protect Blog
1	ScottAdamsSays	RT @ScottAdamsSays: Trump's speech today is the best persuasion I have ever seen. Game over. Now running unopposed: https://t.co/P7fHEMP6U…		 Trump's speech today is the best persuasion I have ever seen. Game over. Now running unopposed: https://t.co/P7fHEMP6U…	Trumps speech today best ever seen Game over running
1	FoxBusiness	"RT @FoxBusiness: .@JerryJrFalwell: ""I was so impressed by @realDonaldTrump's] speech yesterday. He was the best I've ever seen him."" https…"		" .@JerryJrFalwell: ""I was so impressed by @realDonaldTrump's] speech yesterday. He was the best I've ever seen him."" https…"	I impressed speech yesterday best Ive ever seen him
1	robertjeffress	RT @robertjeffress: Honored to pray for my friend, @realDonaldTrump, at tonight's Dallas rally. #TrumpDallas c: @DanScavino https://t.co/Bc…		 Honored to pray for my friend, @realDonaldTrump, at tonight's Dallas rally. #TrumpDallas c: @DanScavino https://t.co/Bc…	Honored pray friend rally TrumpDallas c
1	Reince	RT @Reince: Flying to Dallas now with @realDonaldTrump...Reports of discord are pure fiction. Great events lined up all over Texas. Rs wil…		 Flying to Dallas now with @realDonaldTrump...Reports of discord are pure fiction. Great events lined up all over Texas. Rs wil…	Flying realDonaldTrumpReports pure fiction events lined Texas wil
1	AnnCoulter	RT @AnnCoulter: Trump's speech today was Churchillian, only better. You can tell by the spluttering hysteria on TV about @realDonaldTrump.		 Trump's speech today was Churchillian, only better. You can tell by the spluttering hysteria on TV about @realDonaldTrump.	Trumps speech today Churchillian tell spluttering hysteria
1	realDonaldTrump	RT @realDonaldTrump: HAPPY 241st BIRTHDAY to the @USArmy! THANK YOU! https://t.co/mXsxkfcstC		 HAPPY 241st BIRTHDAY to the @USArmy! THANK YOU! https://t.co/mXsxkfcstC	HAPPY 241st BIRTHDAY USArmy THANK YOU
1	AnnCoulter	RT @AnnCoulter: Anyone who plans to talk about Trump ever again has to see this speech. Your opinion is irrelevant unless you listened to…		 Anyone who plans to talk about Trump ever again has to see this speech. Your opinion is irrelevant unless you listened to…	Anyone talk Trump ever see
1	realDonaldTrump	"""@dxdelafu: RT @realDonaldTrump: THE LAST THING THIS COUNTRY NEEDS IS ANOTHER BUSH! Or another Clinton."""	" ""@dxdelafu:"	" THE LAST THING THIS COUNTRY NEEDS IS ANOTHER BUSH! Or another Clinton."""	LAST THING COUNTRY NEEDS ANOTHER BUSH another Clinton
1	seanhannity	RT @seanhannity: Graph: @RealDonaldTrump's Historic 13 Million Primary Votes Compared To Every GOP Nominee Since 1908 https://t.co/vNpfaSZ8…		 Graph: @RealDonaldTrump's Historic 13 Million Primary Votes Compared To Every GOP Nominee Since 1908 https://t.co/vNpfaSZ8…	Graph RealDonaldTrumps 13 Million Primary Votes Compared Every Nominee Since
1	IvankaTrump	RT @IvankaTrump: My next project is pretty amazing…! xx, Ivanka https://t.co/Ucq3dz20sQ https://t.co/f60biSURQ7		 My next project is pretty amazing…! xx, Ivanka https://t.co/Ucq3dz20sQ https://t.co/f60biSURQ7	project pretty amazing Ivanka
1	DanScavino	RT @DanScavino: LOUISIANA GENERAL ELECTION Donald Trump vs. Hillary Clinton #MakeAmericaGreatAgain #Trump2016 https://t.co/74vYOx7dKz		 LOUISIANA GENERAL ELECTION Donald Trump vs. Hillary Clinton #MakeAmericaGreatAgain #Trump2016 https://t.co/74vYOx7dKz	LOUISIANA GENERAL ELECTION Donald Trump vs Hillary Clinton MakeAmericaGreatAgain Trump2016
1	ApprenticeNBC	"""@SUSANANDREWS12: “Can't wait RT @ApprenticeNBC: “It’s the nastiest I’ve ever seen.” — @RealDonaldTrump on this season of #CelebApprentice"""	" ""@SUSANANDREWS12: “Can't wait"	" “It’s the nastiest I’ve ever seen.” — @RealDonaldTrump on this season of #CelebApprentice"""	Its Ive seen RealDonaldTrump season
1	CBSNews	RT @CBSNews: WATCH NOW: The @realDonaldTrump supporters you'd never expect https://t.co/jKeVJX5u73 https://t.co/pbft0Eq3Y1		 WATCH NOW: The @realDonaldTrump supporters you'd never expect https://t.co/jKeVJX5u73 https://t.co/pbft0Eq3Y1	WATCH NOW realDonaldTrump supporters never expect
1	IvankaTrump	RT @IvankaTrump: Beautiful article about @realDonaldTrump written by my friend, the incredibly talented golfer Natalie Gulbis: https://t.co…		 Beautiful article about @realDonaldTrump written by my friend, the incredibly talented golfer Natalie Gulbis: https://t.co…	Beautiful article realDonaldTrump friend incredibly golfer
1	realDonaldTrump	"""@Mrs_JPG: RT @realDonaldTrump: Negotiation is an art. Treat it like one."""	" ""@Mrs_JPG:"	" Negotiation is an art. Treat it like one."""	Negotiation
1	MittRomney	RT @MittRomney: I am running for president to get us creating wealth again--not to redistribute it.		 I am running for president to get us creating wealth again--not to redistribute it.	president get us creating againnot redistribute it
1	EricTrump	RT @EricTrump: So proud to be out on the campaign trail with @realDonaldTrump - thanks for an amazing night #Biloxi #Trump2016 https://t.co…		 So proud to be out on the campaign trail with @realDonaldTrump - thanks for an amazing night #Biloxi #Trump2016 https://t.co…	trail thanks night Trump2016
